Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_reconnaissance;Clean_Miss_theft;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_reconnaissance;Adv_Miss_theft
Bot-IoT;FGSM;distributive;1;5;0,2835514545440674;1,0300862789154053;51,20574980010177;0,9822454023406266;0,9825230917640336;0,9822454023406266;0,9788456576517686;0,9660166882624516;1,0;0,0;0,7333096647108726;0,4704522129867764;0,505095148835186;0,0;0,0;0,0;0,0;0,4701879043396089;0,3963889472865174;0,4701879043396089;0,3770227077496065;-0,1380484322624356;1,0;0,0;0,4817932346183963;0,1934567171527489;0,1476753233430623;0,0;0,0;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;5;0,2835514545440674;0,962803840637207;45,236970269680896;0,9822454023406266;0,9825230917640336;0,9822454023406266;0,9788456576517686;0,9660166882624516;1,0;0,0;0,7333096647108726;0,4704522129867764;0,505095148835186;0,0;0,0;0,0;0,0;0,5298756996438176;0,5199282749685392;0,5298756996438176;0,4150837860912916;0,0390213502722918;1,0;1,817504384729328e-05;0,5042261126654484;0,2023246981992513;0,1630371236065975;1,7307326191176726e-05;2,0174306003873465e-05;0,0;0,0
Bot-IoT;RANDOM_L2;distributive;1;5;0,2835514545440674;0,6549539566040039;45,56316784182598;0,9822454023406266;0,9825230917640336;0,9822454023406266;0,9788456576517686;0,9660166882624516;1,0;0,0;0,7333096647108726;0,4704522129867764;0,505095148835186;0,0;0,0;0,0;0,0;0,5266137239223668;0,5038326837400693;0,5266137239223668;0,4085256466086689;0,0254832041632103;1,0;9,08752192364664e-06;0,5026170148697013;0,2013430565730026;0,1594793338286402;0,0;2,0174306003873465e-05;0,0;0,0
Bot-IoT;FGSM;distributive;1;10;0,1498322486877441;0,3117413520812988;67,29755760703642;0,9991277167987208;0,9991182147731024;0,9991277167987208;0,999100509217049;0,998325551306958;0,6;0,0;0,8368605153702777;0,6734069004140618;0,7108568033199616;0,0;0,0;0,0;0,0;0,3261521407283564;0,2499472047088495;0,3261521407283564;0,2783120493995105;-0,3977558945279976;1,0;1,817504384729328e-05;0,4283288588917971;0,1844061003696631;0,1088006744863181;0,0;4,034861200774693e-05;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;10;0,1498322486877441;0,4465432167053222;47,39587119284728;0,9991277167987208;0,9991182147731024;0,9991277167987208;0,999100509217049;0,998325551306958;0,6;0,0;0,8368605153702777;0,6734069004140618;0,7108568033199616;0,0;0,0;0,0;0,0;0,5251690048702479;0,5057223493375951;0,5251690048702479;0,4681938404340515;0,0437339972477149;1,0;0,0003998509646404;0,5110028612275446;0,2048363953621716;0,2010721472486503;0,00029422454525;0,000464009038089;0,0014853323431117;0,0
Bot-IoT;RANDOM_L2;distributive;1;10;0,1498322486877441;0,4698424339294433;47,66573380824308;0,9991277167987208;0,9991182147731024;0,9991277167987208;0,999100509217049;0,998325551306958;0,6;0,0;0,8368605153702777;0,6734069004140618;0,7108568033199616;0,0;0,0;0,0;0,0;0,5224703787162899;0,5009790528585515;0,5224703787162899;0,4633414692554429;0,0354462633414925;1,0;0,0003544133550222;0,5071133086992724;0,2030965933782716;0,1911482046525165;0,0002769172190588;0,000464009038089;0,0;0,0
Bot-IoT;FGSM;distributive;1;15;0,1386568546295166;0,3415207862854004;87,53180199171331;0,994711783092244;0,9947346002515236;0,994711783092244;0,9944976778708466;0,9898568826933996;0,5333333333333333;0,0;0,8277290261302405;0,6560822412860143;0,7064098732645278;0,0;0,0;0,0;0,0;0,1193937631751108;0,1252558108731536;0,1193937631751108;0,1220659748199545;-0,6598896960502391;1,0;0,0063612653465526;0,3562168464430486;0,1827939308230421;0,0497712696417925;0,008324823897956;0,0044181730148482;0,0;0,0
Bot-IoT;RANDOM_LINF;distributive;1;15;0,1386568546295166;0,1859843730926513;59,98582539797921;0,994711783092244;0,9947346002515236;0,994711783092244;0,9944976778708466;0,9898568826933996;0,5333333333333333;0,0;0,8277290261302405;0,6560822412860143;0,7064098732645278;0,0;0,0;0,0;0,0;0,3948535291124518;0,5054436277686347;0,3948535291124518;0,4391631201849549;0,0401545076522142;1,0;0,0336510936832635;0,5173724115630043;0,2068566025285361;0,2008534746037186;0,0305128160750445;0,0376654293092317;0,0271073152617898;0,0
Bot-IoT;RANDOM_L2;distributive;1;15;0,1386568546295166;0,1766948699951172;60,54190593879479;0,994711783092244;0,9947346002515236;0,994711783092244;0,9944976778708466;0,9898568826933996;0,5333333333333333;0,0;0,8277290261302405;0,6560822412860143;0,7064098732645278;0,0;0,0;0,0;0,0;0,389292723704296;0,4969617552809602;0,389292723704296;0,4331883834544812;0,0280613485449047;0,9333333333333332;0,0324424532674185;0,5159686091890635;0,204551707203239;0,1956065777845224;0,029976288963118;0,0353655584247901;0,0315633122911251;0,0
Bot-IoT;FGSM;distributive;1;20;0,1401941776275634;0,1464433670043945;91,5688376826343;0,9976012211964818;0,997597095253534;0,9976012211964818;0,9975832987124584;0,995395405704883;0,1333333333333333;0,0;0,8812270187223147;0,7628261463383941;0,7801076823670808;0,0;0,0;0,0;0,0;0,0819128443701388;0,0967922209349993;0,0819128443701388;0,0867748087416438;-0,5558057764347891;0,8;0,0311338501104133;0,4762015562484581;0,1870363444041264;0,0372888071530236;0,0443586770279859;0,0173499031633311;0,0011139992573338;0,0
Bot-IoT;RANDOM_LINF;distributive;1;20;0,1401941776275634;0,1493165493011474;76,33477502362433;0,9976012211964818;0,997597095253534;0,9976012211964818;0,9975832987124584;0,995395405704883;0,1333333333333333;0,0;0,8812270187223147;0,7628261463383941;0,7801076823670808;0,0;0,0;0,0;0,0;0,2342534709602384;0,5152526634881325;0,2342534709602384;0,3187997662678005;0,0317370003619746;1,0;0,0117501658472751;0,473114930048836;0,2066891061649411;0,1572810538441272;0,0107478495647207;0,0119028405422853;0,0304493130337913;0,0
Bot-IoT;RANDOM_L2;distributive;1;20;0,1401941776275634;0,1475484371185302;77,14072835647306;0,9976012211964818;0,997597095253534;0,9976012211964818;0,9975832987124584;0,995395405704883;0,1333333333333333;0,0;0,8812270187223147;0,7628261463383941;0,7801076823670808;0,0;0,0;0,0;0,0;0,2261939376317511;0,5033080606014134;0,2261939376317511;0,3098529810459258;0,0213190955267037;0,8666666666666667;0,0123408547723121;0,4783883956356067;0,2040826982135556;0,1484747392595363;0,0117689818100001;0,0123265009683666;0,0248793167471221;0,0
