Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,1,5,1024,2,3.9594409465789795,1.2054405212402344,3.556371301882677,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9999787957821782,0.9999999971098276,0.0,0.96433633786436,0.9998586852071675,0.9644677892785416,0.9818444217274859,-0.002240809451288554,1.0,0.03553221072145837,0.06013061798178253,0.9977533020558702,0.03553221072145837
Bot-IoT,RANDOM_LINF,1,5,1024,2,3.9594409465789795,1.14217209815979,0.03816239005597355,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9999787957821782,0.9999999971098276,0.0,0.999518426982627,0.9998636586740351,0.9996546741669015,0.999759155499207,-0.00021698428969529825,1.0,0.00034532583309857234,0.7627523680567547,0.999958146089244,0.00034532583309857234
Bot-IoT,RANDOM_L2,1,5,1024,2,3.9594409465789795,1.1341533660888672,0.03634513338663936,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9999787957821782,0.9999999971098276,0.0,0.9995365995493204,0.9998636611525177,0.9996728492107487,0.999768246077224,-0.0002111950793921022,1.0,0.0003271507892512791,0.780257661538275,0.9999596335220837,0.0003271507892512791
Bot-IoT,FGSM,1,5,1024,3,3.729764699935913,1.1136374473571777,33.19310169368321,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.9999669820036774,0.9999999954989829,0.0,0.6679781202297013,0.9997960016319869,0.6680691742168828,0.8009435041482588,-0.008228811989162341,1.0,0.3319308257831172,1.666045686001884e-05,0.9973696604879837,0.3319308257831172
Bot-IoT,RANDOM_LINF,1,5,1024,3,3.729764699935913,1.067267894744873,0.31711128879843287,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.9999669820036774,0.9999999954989829,0.0,0.9967380242785491,0.9998632784016334,0.9968738924582655,0.9983663476721591,-0.0006537632750253856,1.0,0.0031261075417344446,0.7820554762921699,0.9999626559328292,0.0031261075417344446
Bot-IoT,RANDOM_L2,1,5,1024,3,3.729764699935913,1.0499727725982666,0.3734462455477261,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.9999669820036774,0.9999999954989829,0.0,0.9961746747110561,0.9998723186925434,0.9963013785770758,0.9980836546208504,0.012095189203983225,0.9333333333333333,0.0036986214229241827,0.8392408284184985,0.9999708430221712,0.0036986214229241827
Bot-IoT,FGSM,1,5,2048,2,3.7723519802093506,1.1289608478546143,0.007269026677325652,0.9999363960165734,0.9999363913928467,1.0,0.9999681946848775,0.7302735163915309,0.4666666666666667,0.0,0.9999909124780764,0.999999998761423,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,1.2116695898195517e-06,0.9841114947992606,0.0
Bot-IoT,RANDOM_LINF,1,5,2048,2,3.7723519802093506,1.1312861442565918,0.041796903394630824,0.9999363960165734,0.9999363913928467,1.0,0.9999681946848775,0.7302735163915309,0.4666666666666667,0.0,0.9999909124780764,0.999999998761423,0.0,0.999518426982627,0.9998636586740351,0.9996546741669015,0.999759155499207,-0.00021698428969529825,1.0,0.00034532583309857234,0.7679477043405034,0.9999569923280778,0.00034532583309857234
Bot-IoT,RANDOM_L2,1,5,2048,2,3.7723519802093506,1.1943376064300537,0.05906084175328896,0.9999363960165734,0.9999363913928467,1.0,0.9999681946848775,0.7302735163915309,0.4666666666666667,0.0,0.9999909124780764,0.999999998761423,0.0,0.9993457875990405,0.9998636351239557,0.9994820112503522,0.9996727867660425,-0.0002657733463650682,1.0,0.0005179887496478585,0.7961662774178109,0.9999521475183221,0.0005179887496478585
Bot-IoT,FGSM,1,5,2048,3,3.981975555419922,1.1147799491882324,54.651268445155196,0.9999454822999201,0.999945477841286,1.0,0.9999727381774562,0.7745755526123786,0.4,0.0,0.999982733708345,0.9999999976464083,0.0,0.4534327978483681,0.9996995071917946,0.4534946065557383,0.6239473865177951,-0.01281487184389662,1.0,0.5465053934442616,0.1026529505669099,0.9991809875505137,0.5465053934442616
