Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,1,5,1024,2,8.654288530349731,2.7721493244171143,0.014538053354662406,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097933,0.0,0.9998273606164134,0.9998637007959873,0.9999636499123055,0.9999136728564743,-7.038812413015508e-05,1.0,3.635008769458656e-05,0.19447206041384577,0.8138554907985063,3.635008769458656e-05
Bot-IoT,RANDOM_LINF,1,5,1024,2,8.654288530349731,1.628934383392334,0.008177655011998297,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097933,0.0,0.9998909645998401,0.9999000463421505,0.9999909124780764,0.9999454773458372,0.46184349071451203,0.7333333333333333,9.08752192364664e-06,0.854050459980068,0.9999784842979309,9.08752192364664e-06
Bot-IoT,RANDOM_L2,1,5,1024,2,8.654288530349731,1.5083417892456055,0.29621283710111745,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097933,0.0,0.9970106127789489,0.9998724257335521,0.9971374305940514,0.9985030553141536,0.013920198967246646,0.9333333333333333,0.002862569405948692,0.9497950763806219,0.999992978803575,0.002862569405948692
Bot-IoT,FGSM,1,5,1024,3,5.163997411727905,2.544222116470337,0.006360398342664109,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998364468997601,0.9998637020344743,0.9999727374342291,0.999918216761929,-6.0957626672876073e-05,1.0,2.7262565770939922e-05,0.14874455884624824,0.8138432802767644,2.7262565770939922e-05
Bot-IoT,RANDOM_LINF,1,5,1024,3,5.163997411727905,1.5221402645111084,0.002725885004006834,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998727920331467,0.9998727908772886,1.0,0.9999363913928467,0.25818246659772603,0.9333333333333333,0.0,0.800144491598586,0.9999471098922735,0.0
Bot-IoT,RANDOM_L2,1,5,1024,3,5.163997411727905,1.4709813594818115,0.21534491531584043,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9977466017300284,0.9998816233985012,0.9978644323479431,0.9988720094605659,0.03303972450164613,0.8666666666666667,0.0021355676520569606,0.9637744113557674,0.999994955914375,0.0021355676520569606
Bot-IoT,FGSM,1,5,2048,2,4.840378284454346,2.9718005657196045,0.014538053354662406,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998273606164134,0.9998637007959873,0.9999636499123055,0.9999136728564743,-7.038812413015508e-05,1.0,3.635008769458656e-05,0.14874455884624824,0.8138432809334963,3.635008769458656e-05
Bot-IoT,RANDOM_LINF,1,5,2048,2,4.840378284454346,1.5214881896972656,0.008177655011998297,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998909645998401,0.9999000463421505,0.9999909124780764,0.9999454773458372,0.46184349071451203,0.7333333333333333,9.08752192364664e-06,0.8796421333866468,0.9999825593916114,9.08752192364664e-06
Bot-IoT,RANDOM_L2,1,5,2048,2,4.840378284454346,1.5269200801849365,0.2207966853238319,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9977647742967217,0.9998907292909242,0.9978735198698667,0.9988811061584645,0.04983077683314853,0.8,0.002126480130133314,0.9681221847614374,0.9999955660474733,0.002126480130133314
Bot-IoT,FGSM,1,5,2048,3,4.61685037612915,2.403776168823242,0.010903540015994029,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.14874455884624824,0.813843278306526,0.0
Bot-IoT,RANDOM_LINF,1,5,2048,3,4.61685037612915,2.3053793907165527,0.007269026677325652,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9999000508831868,0.9999000472503907,1.0,0.9999500211274325,0.5163719711604263,0.7333333333333333,0.0,0.8768552933300617,0.9999820789074392,0.0
Bot-IoT,RANDOM_L2,1,5,2048,3,4.61685037612915,2.1364352703094482,0.183542923602531,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9981373119139347,0.9998907700709995,0.9982461082687362,0.9990677623112219,0.05488829383269363,0.8,0.0017538917312638017,0.9678892412827946,0.9999955339153737,0.0017538917312638017
Bot-IoT,FGSM,1,10,1024,2,4.731690168380737,1.2897002696990967,0.01362942501998976,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9261329867958307,0.9999890460932461,0.0,0.9998273606164134,0.9998637007959873,0.9999636499123055,0.9999136728564743,-7.038812413015508e-05,1.0,3.635008769458656e-05,0.17353531865395627,0.8138432809334963,3.635008769458656e-05
Bot-IoT,RANDOM_LINF,1,10,1024,2,4.731690168380737,1.2920098304748535,0.008177655011987195,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9261329867958307,0.9999890460932461,0.0,0.9998818783164934,0.9998909606367898,0.9999909124780764,0.999940934059693,0.3872613813392872,0.8,9.08752192364664e-06,0.8216943381709242,0.999972122700222,9.08752192364664e-06
Bot-IoT,RANDOM_L2,1,10,1024,2,4.731690168380737,1.3544445037841797,0.2698626153957995,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9261329867958307,0.9999890460932461,0.0,0.9972650287126553,0.9998906745380999,0.9973737061640662,0.998630604399354,0.04479100443211225,0.8,0.002626293835933879,0.9428612971528795,0.9999919330683836,0.002626293835933879
Bot-IoT,FGSM,1,10,1024,3,4.237630367279053,1.0853760242462158,0.009994911681321383,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9453509752425612,0.9999891437225366,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.17353138072778934,0.8138523666153671,0.0
Bot-IoT,RANDOM_LINF,1,10,1024,3,4.237630367279053,1.1153876781463623,0.007269026677325652,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9453509752425612,0.9999891437225366,0.0,0.9998909645998401,0.9998909616275794,1.0,0.999945477841286,0.44718921311399706,0.8,0.0,0.8901045973773413,0.9999833371170448,0.0
Bot-IoT,RANDOM_L2,1,10,1024,3,4.237630367279053,1.1577882766723633,0.14810641855055318,0.9999636548666133,0.9999636512335862,1.0,0.9999818252864789,0.8563332748242921,0.26666666666666666,0.0,0.9453509752425612,0.9999891437225366,0.0,0.9984825906811078,0.9998817106460418,0.9986005216237585,0.9992407054619193,0.0409371873541526,0.8666666666666667,0.0013994783762415826,0.9314331324990988,0.9999896389073241,0.0013994783762415826
Bot-IoT,FGSM,1,10,2048,2,3.1665639877319336,0.9661617279052734,0.014538053354662406,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9542470533710162,0.9999937639097932,0.0,0.9998273606164134,0.9998637007959873,0.9999636499123055,0.9999136728564743,-7.038812413015508e-05,1.0,3.635008769458656e-05,0.252583431024194,0.8138904051478419,3.635008769458656e-05
