Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_F1_Macro,Clean_Miss_ddos,Clean_Miss_dos,Clean_Miss_reconnaissance,Clean_Miss_theft,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_F1_Macro,Adv_Miss_ddos,Adv_Miss_dos,Adv_Miss_reconnaissance,Adv_Miss_theft
Bot-IoT,FGSM,1,5,1024,2,3.632481336593628,4.445910215377808,77.00170822126917,0.9626644617285746,0.9638151366022115,0.9626644617285746,0.9549145392834212,0.9283883896878098,1.0,0.0,0.921726354286436,0.3933943028070008,0.4372585289369753,0.0,0.0,0.0,0.0,0.19264737951588282,0.1780260011872033,0.19264737951588282,0.18479579242341462,-0.5951718768707575,1.0,0.0,0.4774488539077681,0.17841210432055601,0.07220844418124425,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,1024,2,3.632481336593628,3.7302563190460205,44.35560078505488,0.9626644617285746,0.9638151366022115,0.9626644617285746,0.9549145392834212,0.9283883896878098,1.0,0.0,0.921726354286436,0.3933943028070008,0.4372585289369753,0.0,0.0,0.0,0.0,0.5191084538780257,0.5010967200240009,0.5191084538780257,0.4948349442756505,0.03969819754143462,1.0,0.0,0.6847643077159187,0.21527846377579865,0.21607968728040258,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_L2,1,5,1024,2,3.632481336593628,3.6505606174468994,44.60274769208403,0.9626644617285746,0.9638151366022115,0.9626644617285746,0.9549145392834212,0.9283883896878098,1.0,0.0,0.921726354286436,0.3933943028070008,0.4372585289369753,0.0,0.0,0.0,0.0,0.5166369848077342,0.4980743028647027,0.5166369848077342,0.4907812764569513,0.032469782008553785,1.0,0.0,0.6926184420250389,0.20941231070296357,0.20891188611526243,0.0,0.0,0.0,0.0
Bot-IoT,FGSM,1,5,1024,3,3.642841339111328,2.100342035293579,88.2241767827288,0.9615468488769354,0.9631407568163278,0.9615468488769354,0.9561213501844402,0.9264676752577764,1.0,0.0,0.903641862730533,0.46415822969786136,0.46571910360198415,0.0,0.0,0.0,0.0,0.07930508104964745,0.0811658628351279,0.07930508104964745,0.07979815965564417,-0.7814980860602533,1.0,0.0,0.5846701634590958,0.1618437614534081,0.03542451990123198,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,1024,3,3.642841339111328,2.8496038913726807,43.73955077415135,0.9615468488769354,0.9631407568163278,0.9615468488769354,0.9561213501844402,0.9264676752577764,1.0,0.0,0.903641862730533,0.46415822969786136,0.46571910360198415,0.0,0.0,0.0,0.0,0.5241513411354219,0.5042708256667936,0.5241513411354219,0.4865037102842611,0.053163085731217925,1.0,9.996274116011305e-05,0.7055417855490289,0.22305748678409315,0.23602972369299816,0.00012115128333823707,6.05229180116204e-05,0.0003713330857779428,0.0
Bot-IoT,RANDOM_L2,1,5,1024,3,3.642841339111328,2.8479533195495605,44.21930653485499,0.9615468488769354,0.9631407568163278,0.9615468488769354,0.9561213501844402,0.9264676752577764,1.0,0.0,0.903641862730533,0.46415822969786136,0.46571910360198415,0.0,0.0,0.0,0.0,0.5193537835283856,0.49839349916962294,0.5193537835283856,0.4792142453282813,0.03877506535537857,1.0,9.087521923646641e-05,0.7059170504327421,0.21542305108325682,0.21558600821280755,1.7307326191176726e-05,0.0001815687540348612,0.0,0.0
Bot-IoT,FGSM,1,5,2048,2,4.182576894760132,2.29545521736145,88.72483099512975,0.9849531147779312,0.9851332022255299,0.9849531147779312,0.9817475457183715,0.9712064356642767,1.0,0.0,0.9226019287210555,0.3969933404704442,0.5099233049654859,0.0,0.0,0.0,0.0,0.09770480482663371,0.09822627949667234,0.09770480482663371,0.09723798409470391,-0.7550296301591937,1.0,0.0,0.6311423193244436,0.18016930704119655,0.04053007218190505,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_LINF,1,5,2048,2,4.182576894760132,3.5289535522460938,46.33095878461874,0.9849531147779312,0.9851332022255299,0.9849531147779312,0.9817475457183715,0.9712064356642767,1.0,0.0,0.9226019287210555,0.3969933404704442,0.5099233049654859,0.0,0.0,0.0,0.0,0.5216435269317439,0.5021884132253583,0.5216435269317439,0.4858000202773229,0.038524364022639514,1.0,0.0,0.6637477005529895,0.21883908220915999,0.21086302945807955,0.0,0.0,0.0,0.0
Bot-IoT,RANDOM_L2,1,5,2048,2,4.182576894760132,3.494473457336426,46.30369993457876,0.9849531147779312,0.9851332022255299,0.9849531147779312,0.9817475457183715,0.9712064356642767,1.0,0.0,0.9226019287210555,0.3969933404704442,0.5099233049654859,0.0,0.0,0.0,0.0,0.5219161154321437,0.5004388080026911,0.5219161154321437,0.48487141338078293,0.03785885877625748,1.0,0.0,0.6936355354795122,0.21200859691385823,0.20222530905644379,0.0,0.0,0.0,0.0
Bot-IoT,FGSM,1,5,2048,3,4.547385931015015,1.788802146911621,86.90303118412444,0.9405575343461511,0.9450069279127604,0.9405575343461511,0.9344187112012765,0.887339240992003,0.7333333333333333,9.08752192364664e-06,0.8761960740743998,0.3419962565945625,0.5264600501185195,0.0,0.0,0.0003713330857779428,0.0,0.07152722250490659,0.0691179138604626,0.07152722250490659,0.06933809411717462,-0.8093183852162754,1.0,0.0,0.5826600997311988,0.160191158005961,0.02950832059915139,0.0,0.0,0.0,0.0
