Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
CICIDS,FGSM,1,5,1024,2,142.37911105155945,50.28412461280823,0.00039670654228274316,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204907256473084,0.587419422270403,0.9999765090029247,0.8311240084815859,0.5,2.3490997075370863e-05,4.6979786946666196e-05,0.002489574936026878,4.7731329890313404e-06,0.9999765090029247,0.4320848418494916,0.3291340508711427,0.9999765090029247
CICIDS,RANDOM_LINF,1,5,1024,2,142.37911105155945,23.86268162727356,-0.017058381318302285,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204907256473084,0.587419422270403,0.9999765090029247,0.8312985593601917,0.9888888888888889,0.0010453493698540034,0.0020884910065822665,0.02924714778753438,2.3865664945156702e-06,0.998954650630146,0.4999673877352189,0.2476364585549301,0.998954650630146
CICIDS,RANDOM_L2,1,5,1024,2,142.37911105155945,17.31616473197937,0.15709579074523194,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204907256473084,0.587419422270403,0.9999765090029247,0.8295570176395564,0.40015166835187055,0.01859312418515604,0.035535102979965205,0.054899900723127455,0.0056633222914856856,0.981406875814844,0.4728380240954725,0.18227363201641503,0.981406875814844
CICIDS,FGSM,1,5,1024,3,134.26035714149475,31.65075159072876,0.0,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.4301776533496706,0.32397063001533133,0.9999765090029247
CICIDS,RANDOM_LINF,1,5,1024,3,134.26035714149475,19.34846067428589,-0.024199099079447173,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.8313699665378032,0.9696969696969697,0.0015034238128237352,0.0030021930081739396,0.034592510615129336,9.546265978062681e-06,0.9984965761871762,0.5016078262509248,0.24735655096394982,0.9984965761871762
CICIDS,RANDOM_L2,1,5,1024,3,134.26035714149475,14.533798694610596,0.13170657203892544,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.8298109098266194,0.4133507853403141,0.018546142191005296,0.03549949976955676,0.057019078467165925,0.005348295514209617,0.9814538578089947,0.4719823677001581,0.18350218841557328,0.9814538578089947
CICIDS,FGSM,1,5,2048,2,132.59363961219788,47.551395416259766,0.00019835327114137158,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204954987242345,0.587420140275656,0.9999765090029247,0.8311259920142973,0.6666666666666666,2.3490997075370863e-05,4.698033872824223e-05,0.003241242240618886,2.3865664945156702e-06,0.9999765090029247,0.43583313514273864,0.3352998204296097,0.9999765090029247
CICIDS,RANDOM_LINF,1,5,2048,2,132.59363961219788,23.19386649131775,-0.01963697384316232,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204954987242345,0.587420140275656,0.9999765090029247,0.8313243452854403,0.9719626168224299,0.001221531847919285,0.002439997184618633,0.031232243895641706,7.159699483547011e-06,0.9987784681520807,0.497271881961353,0.2480638751216711,0.9987784681520807
CICIDS,RANDOM_L2,1,5,2048,2,132.59363961219788,16.435075998306274,0.1743525253346645,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204954987242345,0.587420140275656,0.9999765090029247,0.829384450293662,0.3878229726272704,0.017806175783131116,0.03404905219656814,0.05166124292916912,0.005711053621375999,0.9821938242168688,0.4696845453103059,0.18083161164265485,0.9821938242168688
CICIDS,FGSM,1,5,2048,3,134.13840293884277,31.52861976623535,0.00019835327114137158,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.8311259920142973,0.6666666666666666,2.3490997075370863e-05,4.698033872824223e-05,0.003241242240618886,2.3865664945156702e-06,0.9999765090029247,0.42574690659616354,0.32216419730283435,0.9999765090029247
CICIDS,RANDOM_LINF,1,5,2048,3,134.13840293884277,19.776275873184204,-0.029752990671449986,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.8314255054537232,0.9634146341463414,0.0018557887689542982,0.003704441813300822,0.038256955969994684,1.4319398967094021e-05,0.9981442112310457,0.49758660173859093,0.249530716334552,0.9981442112310457
CICIDS,RANDOM_L2,1,5,2048,3,134.13840293884277,14.82862114906311,0.1517402524243705,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5204799862242243,0.587417806801709,0.9999765090029247,0.829610573022765,0.406150061500615,0.01939181808571865,0.037016277296982196,0.05710068741829003,0.005761171517760828,0.9806081819142813,0.4689554602765924,0.18362536929554524,0.9806081819142813
CICIDS,FGSM,1,10,1024,2,109.82167530059814,32.14383578300476,0.0003967065422938454,0.8311299590797202,1.0,3.52364956130563e-05,7.047050809236334e-05,0.0054116607200018615,0.0,0.9999647635043869,0.5205166431276106,0.5874273198598394,0.9999647635043869,0.8311259920142973,0.6666666666666666,2.3490997075370863e-05,4.698033872824223e-05,0.003241242240618886,2.3865664945156702e-06,0.9999765090029247,0.43578522024913857,0.35006511302426596,0.9999765090029247
CICIDS,RANDOM_LINF,1,10,1024,2,109.82167530059814,19.739264726638794,-0.027967811231155437,0.8311299590797202,1.0,3.52364956130563e-05,7.047050809236334e-05,0.0054116607200018615,0.0,0.9999647635043869,0.5205166431276106,0.5874273198598394,0.9999647635043869,0.8314096371920318,0.9444444444444444,0.001797061276265871,0.003587296749158861,0.03711506657658545,2.147909845064103e-05,0.9982029387237341,0.5025562901985863,0.27414963902387396,0.9982029387237341
CICIDS,RANDOM_L2,1,10,1024,2,109.82167530059814,14.574678659439087,0.18684878141668193,0.8311299590797202,1.0,3.52364956130563e-05,7.047050809236334e-05,0.0054116607200018615,0.0,0.9999647635043869,0.5205166431276106,0.5874273198598394,0.9999647635043869,0.8292614712655534,0.3956434763280729,0.02090698739708007,0.03971529931502265,0.057436516829211214,0.006489074298588107,0.9790930126029199,0.48092059251975683,0.19654071139221996,0.9790930126029199
CICIDS,FGSM,1,10,1024,3,111.20145082473755,21.906656980514526,0.0,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205253304550232,0.5874246280757364,0.9999765090029247,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.4396954117448446,0.3407017467631662,0.9999765090029247
CICIDS,RANDOM_LINF,1,10,1024,3,111.20145082473755,13.689952373504639,-0.03114146356945069,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205253304550232,0.5874246280757364,0.9999765090029247,0.8314393901827032,0.9595375722543352,0.0019497527572557816,0.003891597899474869,0.039101284882208494,1.670596546160969e-05,0.9980502472427443,0.49870865872046954,0.27177286591172517,0.9980502472427443
CICIDS,RANDOM_L2,1,10,1024,3,111.20145082473755,11.48395824432373,0.15788920382979743,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205253304550232,0.5874246280757364,0.9999765090029247,0.8295490835087107,0.40340632603406323,0.019474036575482447,0.03715447792132125,0.0567544940675341,0.005851861044552423,0.9805259634245176,0.47768116699678276,0.19287103128922922,0.9805259634245176
CICIDS,FGSM,1,10,2048,2,110.34091663360596,32.73104381561279,0.0007934130845654863,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205372631473388,0.5874264233247959,0.9999765090029247,0.831120041416163,0.3333333333333333,2.3490997075370863e-05,4.697868342239709e-05,0.0015143779918121339,9.546265978062681e-06,0.9999765090029247,0.4442028675680098,0.36869088233656416,0.9999765090029247
CICIDS,RANDOM_LINF,1,10,2048,2,110.34091663360596,23.747418880462646,-0.03252993646745139,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205372631473388,0.5874264233247959,0.9999765090029247,0.8314532749116832,0.9510869565217391,0.0020554622440949505,0.004102059233735335,0.0398946713219878,2.147909845064103e-05,0.9979445377559051,0.5019113024460955,0.30310996438863386,0.9979445377559051
CICIDS,RANDOM_L2,1,10,2048,2,110.34091663360596,16.944780111312866,0.2703555085678655,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205372631473388,0.5874264233247959,0.9999765090029247,0.82842442046133,0.38038319564071016,0.025417258835551276,0.047650504249790816,0.060312903139366866,0.008412646893167737,0.9745827411644488,0.4838188128126949,0.19896340156248912,0.9745827411644488
CICIDS,FGSM,1,10,2048,3,111.59272360801697,32.730873346328735,0.0007934130845654863,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205169775704025,0.5874233714452657,0.9999765090029247,0.831120041416163,0.3333333333333333,2.3490997075370863e-05,4.697868342239709e-05,0.0015143779918121339,9.546265978062681e-06,0.9999765090029247,0.4346705543099972,0.2278445332617518,0.9999765090029247
CICIDS,RANDOM_LINF,1,10,2048,3,111.59272360801697,17.713021516799927,-0.03233158319631002,0.8311279755470087,1.0,2.3490997075370863e-05,4.698089052277986e-05,0.004418598092781565,0.0,0.9999765090029247,0.5205169775704025,0.5874233714452657,0.9999765090029247,0.8314512913789718,0.9661016949152542,0.002008480249944209,0.004008626752309063,0.0398792507104329,1.4319398967094021e-05,0.9979915197500558,0.5044743001974692,0.27458004256283725,0.9979915197500558
