Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Edge-IIoT,FGSM,1,5,1024,2,149.87339901924133,20.044066667556763,88.08604883280273,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.11913951167197262,0.09472793910346772,0.26164755782358007,0.13909673441525555,-0.692147855164413,0.934097527612811,0.7383524421764199,0.055079237660551374,0.15280411433029112,0.7383524421764199
Edge-IIoT,RANDOM_LINF,1,5,1024,2,149.87339901924133,8.725238561630249,19.446153014255106,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.8055384698574489,0.617141105965677,0.750720723706011,0.677408503767492,0.5454316010779782,0.17398314605002954,0.249279276293989,0.8470966164930865,0.670341227105582,0.249279276293989
Edge-IIoT,RANDOM_L2,1,5,1024,2,149.87339901924133,9.065330743789673,25.097501132162193,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0.0,0.7490249886783781,0.5274247944391145,0.7423454171913314,0.6166964313365197,0.4521123487530042,0.24847970934208938,0.25765458280866854,0.8000865616376717,0.5875865866100354,0.25765458280866854
Edge-IIoT,C&W,1,5,1024,2,149.87339901924133,3.56947922706604,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.0,0.0
Edge-IIoT,FGSM,1,5,1024,3,150.6051323413849,5.891286134719849,93.50983798252076,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.06490162017479233,0.07673169791675655,0.2210053681489827,0.11391337579073893,-0.8342948408323416,0.9934143948701603,0.7789946318510172,0.03428070811133502,0.1518131497732839,0.7789946318510172
Edge-IIoT,RANDOM_LINF,1,5,1024,3,150.6051323413849,7.677521705627441,17.028169997814537,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8297183000218546,0.6622614647895425,0.7630227317913711,0.7090804111012741,0.5925158426959592,0.14536609217990337,0.2369772682086288,0.8677807229731181,0.710019711815457,0.2369772682086288
Edge-IIoT,RANDOM_L2,1,5,1024,3,150.6051323413849,8.529757499694824,22.955968466184963,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7704403153381504,0.5574750546538184,0.7562711246603486,0.6418321791401553,0.49060727742759,0.2242664694286183,0.2437288753396514,0.8201279360735925,0.6220145913719299,0.2437288753396514
Edge-IIoT,C&W,1,5,1024,3,150.6051323413849,3.614359140396118,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edge-IIoT,FGSM,1,5,2048,2,150.090491771698,12.280259609222412,94.27768052072702,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05722319479272983,0.03417081024248133,0.09046325137517397,0.04960445895026608,-0.8569933394151036,0.9551943650987686,0.909536748624826,0.030365465346507907,0.15363661182586005,0.909536748624826
Edge-IIoT,RANDOM_LINF,1,5,2048,2,150.090491771698,9.101734399795532,18.672903134230502,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.813270968657695,0.6365256928406466,0.7306398701040493,0.6803434231232065,0.5519448037940493,0.15586035298595916,0.2693601298959507,0.84661108333063,0.6797641606020756,0.2693601298959507
Edge-IIoT,RANDOM_L2,1,5,2048,2,150.090491771698,8.833548069000244,24.23548072395295,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7576451927604705,0.5406948305646195,0.7234243488634104,0.6188527349328005,0.4567557867398763,0.22957085250782194,0.27657565113658955,0.7997555770543936,0.5961290177148011,0.27657565113658955
Edge-IIoT,C&W,1,5,2048,2,150.090491771698,3.6382997035980225,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edge-IIoT,FGSM,1,5,2048,3,150.37418842315674,8.352238655090332,95.64325963577048,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.043567403642295326,0.04790704319253298,0.1333421697925641,0.07048890290258727,-0.8887341718884597,0.9899699500818558,0.8666578302074359,0.013416323635275704,0.15039344069532928,0.8666578302074359
Edge-IIoT,RANDOM_LINF,1,5,2048,3,150.37418842315674,8.595083475112915,19.830524895176428,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.8016947510482357,0.6146391405570671,0.7261084233547618,0.6657400233939449,0.5298455737917962,0.17006830089530806,0.2738915766452383,0.8359380871552577,0.6582778191980213,0.2738915766452383
Edge-IIoT,RANDOM_L2,1,5,2048,3,150.37418842315674,8.824205160140991,25.236289572166616,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.7476371042783339,0.526364578221277,0.7197047518059514,0.6080353299762391,0.43988625880014465,0.2419281463440298,0.28029524819404866,0.7902766053850094,0.5779673427286918,0.28029524819404866
Edge-IIoT,C&W,1,5,2048,3,150.37418842315674,3.6058950424194336,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0
Edge-IIoT,FGSM,1,10,1024,2,111.96610498428345,14.454481840133667,58.63676406641116,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4136323593358883,0.06603057708335924,0.0879448604943999,0.07542826286209615,-0.3487945430905102,0.4646998567135726,0.9120551395056001,0.30707975571003704,0.2090452348913201,0.9120551395056001
Edge-IIoT,RANDOM_LINF,1,10,1024,2,111.96610498428345,4.252171039581299,25.33632539580616,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7466367460419384,0.6068960161528306,0.19422261249917158,0.29427084967648404,0.23240173337825246,0.04699671029217433,0.8057773875008284,0.57316671883757,0.46752541253981916,0.8057773875008284
Edge-IIoT,RANDOM_L2,1,10,1024,2,111.96610498428345,4.237212896347046,26.43626884402297,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7356373115597703,0.5413351612034566,0.18318808403472728,0.27374180650033114,0.19272857392112502,0.05798303463941645,0.8168119159652727,0.5613976542345321,0.43961412806129013,0.8168119159652727
Edge-IIoT,C&W,1,10,1024,2,111.96610498428345,2.5781264305114746,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edge-IIoT,FGSM,1,10,1024,3,116.32354259490967,15.521146535873413,48.68590328518546,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.0,0.5131409671481454,0.044518519933523085,0.03861256544502618,0.041355751741271464,-0.284009705217094,0.30958843062677754,0.9613874345549738,0.3397901912991482,0.17131109561901445,0.9613874345549738
Edge-IIoT,RANDOM_LINF,1,10,1024,3,116.32354259490967,4.2421979904174805,24.77689082351563,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.0,0.7522310917648437,0.6529066788134146,0.18998939624892305,0.2943312927527304,0.25096874057856966,0.03773106096945802,0.8100106037510769,0.5779660569658153,0.48758649467398346,0.8100106037510769
Edge-IIoT,RANDOM_L2,1,10,1024,3,116.32354259490967,4.0596842765808105,26.237774338107567,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.0,0.7376222566189243,0.5548881097246571,0.17830041752269865,0.2698808777429467,0.19675047681479757,0.05343067319862965,0.8216995824773013,0.5633679550953093,0.44709835381058494,0.8216995824773013
Edge-IIoT,C&W,1,10,1024,3,116.32354259490967,2.5442163944244385,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.0
Edge-IIoT,FGSM,1,10,2048,2,112.26575350761414,18.780918836593628,49.64480523430688,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5035519476569312,0.059072402195078776,0.055288620849625554,0.057117915889290174,-0.27958609790659145,0.3289893510022313,0.9447113791503744,0.3199525889402398,0.1805962262779451,0.9447113791503744
Edge-IIoT,RANDOM_LINF,1,10,2048,2,112.26575350761414,5.145280838012695,25.241471608075862,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7475852839192414,0.6184303880368935,0.18774438332560142,0.2880438236378195,0.2335760414460758,0.04327373897112299,0.8122556166743986,0.5718137584021558,0.46554841008113873,0.8122556166743986
Edge-IIoT,RANDOM_L2,1,10,2048,2,112.26575350761414,4.46409797668457,26.54216262129907,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7345783737870093,0.5365577605070551,0.17672642322221485,0.265879816290794,0.18651547393343773,0.057023665471065736,0.8232735767777851,0.5593807441963352,0.43453913334539573,0.8232735767777851
Edge-IIoT,C&W,1,10,2048,2,112.26575350761414,2.5422210693359375,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edge-IIoT,FGSM,1,10,2048,3,112.28248810768127,19.286627531051636,57.459765997282815,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.42540234002717187,0.028331437079488153,0.03341838425342965,0.030665379440360626,-0.37630060547333904,0.4281633650956739,0.9665816157465703,0.28280334153967296,0.16700883892941124,0.9665816157465703
Edge-IIoT,RANDOM_LINF,1,10,2048,3,112.28248810768127,4.226751089096069,25.54315622035819,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7445684377964181,0.598778223310638,0.18432301676718138,0.2818757086482001,0.22200361689811474,0.04613946751916417,0.8156769832328186,0.5676634080178757,0.4578757322335573,0.8156769832328186
Edge-IIoT,RANDOM_L2,1,10,2048,3,112.28248810768127,3.8876335620880127,26.707537158577054,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7329246284142295,0.5272244355909694,0.17430744250778712,0.26199562946314614,0.1803086900879462,0.0583915402207787,0.8256925574922128,0.5556881114826177,0.4289725027737218,0.8256925574922128
Edge-IIoT,C&W,1,10,2048,3,112.28248810768127,2.524286985397339,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edge-IIoT,FGSM,1,15,1024,2,99.94610166549683,12.547052145004272,27.687392557244593,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.723126074427554,0.0,0.0,0.0,-0.04290127581874303,0.00673415261397151,1.0,0.4816254044990488,0.13631264376424831,1.0
Edge-IIoT,RANDOM_LINF,1,15,1024,2,99.94610166549683,2.075465679168701,27.019135230859703,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.729808647691403,0.6023316062176166,0.019260719729604348,0.03732781042288797,0.06953906046815767,0.004750424752962439,0.9807392802703957,0.5071442681586201,0.42652013227009844,0.9807392802703957
