Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
ToN-IoT,FGSM,1,5,1024,2,70.70233941078186,28.33538055419922,0.6136132104527486,0.23693998910185032,1.0,3.104722282591822e-05,6.209251785159888e-05,0.0027121517931016407,0.0,0.9999689527771741,0.5,0.8815418512639485,0.9999689527771741,0.23080385699732284,0.0,0.0,0.0,-0.14074316555290847,0.0258,1.0,0.5036534431370114,0.3822663048494963,1.0
ToN-IoT,RANDOM_LINF,1,5,1024,2,70.70233941078186,4.60071873664856,-0.5851832547560942,0.23693998910185032,1.0,3.104722282591822e-05,6.209251785159888e-05,0.0027121517931016407,0.0,0.9999689527771741,0.5,0.8815418512639485,0.9999689527771741,0.24279182164941127,0.7897196261682243,0.01049396131516036,0.020712688053436283,0.00634040022886055,0.009,0.9895060386848397,0.4980749091868732,0.7783312560442859,0.9895060386848397
ToN-IoT,RANDOM_L2,1,5,1024,2,70.70233941078186,4.670044183731079,-0.6301973512757936,0.23693998910185032,1.0,3.104722282591822e-05,6.209251785159888e-05,0.0027121517931016407,0.0,0.9999689527771741,0.5,0.8815418512639485,0.9999689527771741,0.24324196261460826,0.7822410147991543,0.011487472445589742,0.02264243314362646,0.0047965191133753264,0.0103,0.9885125275544102,0.4982189496724518,0.7742916449170906,0.9885125275544102
ToN-IoT,C&W,1,5,1024,2,70.70233941078186,3.7997729778289795,0.0023691629747218945,0.23693998910185032,1.0,3.104722282591822e-05,6.209251785159888e-05,0.0027121517931016407,0.0,0.9999689527771741,0.5,0.8815418512639485,0.9999689527771741,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8815418512639485,1.0
ToN-IoT,FGSM,1,5,1024,3,72.4262330532074,28.91432547569275,0.11845814873605032,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50015,0.8815689712363171,0.9999068583315223,0.23580279087398423,0.0,0.0,0.0,-0.05992070959015407,0.0047,1.0,0.5052224207519638,0.3825931420765299,1.0
ToN-IoT,RANDOM_LINF,1,5,1024,3,72.4262330532074,6.004480361938477,-0.5851832547560942,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50015,0.8815689712363171,0.9999068583315223,0.24283920490890568,0.7741228070175439,0.010959669657549131,0.02161334761977652,0.0027132440866372226,0.0103,0.9890403303424509,0.49768107671768763,0.7663615102711068,0.9890403303424509
ToN-IoT,RANDOM_L2,1,5,1024,3,72.4262330532074,6.154571771621704,-0.5662299509583274,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50015,0.8815689712363171,0.9999068583315223,0.242649671870928,0.775,0.010587102983638113,0.020888848050476277,0.0028764516467963772,0.0099,0.9894128970163619,0.4974177900586792,0.7680795470411906,0.9894128970163619
ToN-IoT,C&W,1,5,1024,3,72.4262330532074,3.8586995601654053,0.007107488924162908,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50015,0.8815689712363171,0.9999068583315223,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.504039343040765,0.8820944171061254,1.0
ToN-IoT,FGSM,1,5,2048,2,71.2673408985138,28.596190452575684,0.6657347958966081,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5005,0.8816322661674447,0.9999068583315223,0.23033002440237865,0.0,0.0,0.0,-0.14613135412992634,0.0278,1.0,0.5112261324474525,0.8824619304703255,1.0
ToN-IoT,RANDOM_LINF,1,5,2048,2,71.2673408985138,5.31680703163147,-0.03553744462081454,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5005,0.8816322661674447,0.9999068583315223,0.23734274680755288,0.8461538461538461,0.0006830389021702009,0.001364975957809834,0.00485042000346672,0.0004,0.9993169610978297,0.496717436120339,0.8753038793257621,0.9993169610978297
ToN-IoT,RANDOM_L2,1,5,2048,2,71.2673408985138,5.233540773391724,-0.028429955696651632,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5005,0.8816322661674447,0.9999068583315223,0.23727167191831125,0.8,0.0006209444565183645,0.0012409257305950239,0.0021136384681694326,0.0005,0.9993790555434816,0.4952651401782111,0.8749031806987663,0.9993790555434816
ToN-IoT,C&W,1,5,2048,2,71.2673408985138,3.76346492767334,0.007107488924162908,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5005,0.8816322661674447,0.9999068583315223,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.504039343040765,0.8820944171061254,1.0
ToN-IoT,FGSM,1,5,2048,3,72.27263641357422,28.40720248222351,1.0898149683716745,0.24485299343741856,1.0,0.010400819646682604,0.020587512291052115,0.049838109329982484,0.0,0.9895991803533174,0.5003500000000001,0.8816051371972893,0.9895991803533174,0.23395484375370182,0.0,0.0,0.0,-0.09781041942689427,0.0125,1.0,0.4915619004005092,0.877746146867713,1.0
ToN-IoT,RANDOM_LINF,1,5,2048,3,72.27263641357422,4.825120210647583,0.793669596531546,0.24485299343741856,1.0,0.010400819646682604,0.020587512291052115,0.049838109329982484,0.0,0.9895991803533174,0.5003500000000001,0.8816051371972893,0.9895991803533174,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.5015872085441958,0.8780539563813324,1.0
ToN-IoT,RANDOM_L2,1,5,2048,3,72.27263641357422,4.69446873664856,0.793669596531546,0.24485299343741856,1.0,0.010400819646682604,0.020587512291052115,0.049838109329982484,0.0,0.9895991803533174,0.5003500000000001,0.8816051371972893,0.9895991803533174,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.500534454655531,0.8776990722405845,1.0
ToN-IoT,C&W,1,5,2048,3,72.27263641357422,3.7325451374053955,0.793669596531546,0.24485299343741856,1.0,0.010400819646682604,0.020587512291052115,0.049838109329982484,0.0,0.9895991803533174,0.5003500000000001,0.8816051371972893,0.9895991803533174,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.49631794839951565,0.8782844504493342,1.0
ToN-IoT,FGSM,1,10,1024,2,39.7090585231781,14.618992328643799,2.1227700253500403,0.25314506384894214,1.0,0.021267347635753983,0.04164893293609777,0.07156605434030314,0.0,0.978732652364246,0.50395,0.8822572988369333,0.978732652364246,0.23191736359544174,0.013824884792626729,9.314166847775466e-05,0.00018503669894529083,-0.12667616066069531,0.0214,0.9999068583315223,0.5010672762271414,0.5183106649096563,0.9999068583315223
ToN-IoT,RANDOM_LINF,1,10,1024,2,39.7090585231781,3.4208686351776123,0.4454026392475524,0.25314506384894214,1.0,0.021267347635753983,0.04164893293609777,0.07156605434030314,0.0,0.978732652364246,0.50395,0.8822572988369333,0.978732652364246,0.24869103745646662,0.7646432374866879,0.02229190598900928,0.04332086400386147,0.0005532572561480076,0.0221,0.9777080940109907,0.5017114471110559,0.7642249006107008,0.9777080940109907
ToN-IoT,RANDOM_L2,1,10,1024,2,39.7090585231781,3.1196727752685547,0.5330616693122292,0.25314506384894214,1.0,0.021267347635753983,0.04164893293609777,0.07156605434030314,0.0,0.978732652364246,0.50395,0.8822572988369333,0.978732652364246,0.24781444715581985,0.7625570776255708,0.02073954484771337,0.04038083723741877,-0.0001803106683147763,0.0208,0.9792604551522867,0.49997313794281095,0.7628094817545823,0.9792604551522867
ToN-IoT,C&W,1,10,1024,2,39.7090585231781,1.9438116550445557,1.6228766376839037,0.25314506384894214,1.0,0.021267347635753983,0.04164893293609777,0.07156605434030314,0.0,0.978732652364246,0.50395,0.8822572988369333,0.978732652364246,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.5025794529479338,0.8794959793137787,1.0
ToN-IoT,FGSM,1,10,1024,3,40.215723514556885,15.586412906646729,0.8884361155203857,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50295,0.8820759193357058,0.9999068583315223,0.22810301120614088,0.0,0.0,0.0,-0.16923096195329884,0.0372,1.0,0.5084115697475861,0.38827890184094915,1.0
ToN-IoT,RANDOM_LINF,1,10,1024,3,40.215723514556885,3.687157392501831,-0.38854272785424915,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50295,0.8820759193357058,0.9999068583315223,0.24087279963988723,0.7434402332361516,0.007917041820609146,0.015667240108134677,-0.004181681583792809,0.0088,0.9920829581793909,0.4973896286752149,0.7528521911271618,0.9920829581793909
ToN-IoT,RANDOM_L2,1,10,1024,3,40.215723514556885,3.0239484310150146,-0.4264493354497856,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50295,0.8820759193357058,0.9999068583315223,0.2412518657158426,0.7534626038781164,0.008444844608649756,0.01670248695118207,-0.002101635315193953,0.0089,0.9915551553913502,0.4983313328572759,0.7599029963684906,0.9915551553913502
ToN-IoT,C&W,1,10,1024,3,40.215723514556885,1.9637577533721924,0.007107488924162908,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.50295,0.8820759193357058,0.9999068583315223,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.49203788692601447,0.8691857331339403,1.0
ToN-IoT,FGSM,1,10,2048,2,39.65768098831177,14.649422407150269,1.4996801629984124,0.23705844725058636,0.875,0.00021733055978142755,0.0004345531862060403,0.0036240434737238683,0.0001,0.9997826694402185,0.5002655158496072,0.8815907297530109,0.9997826694402185,0.22206164562060224,0.1441543700340522,0.003942997298891614,0.007676035055908129,-0.21253148054442386,0.0754,0.9960570027011084,0.5068324583191034,0.7952144162268863,0.9960570027011084
ToN-IoT,RANDOM_LINF,1,10,2048,2,39.65768098831177,3.7913904190063477,-1.3362079177426627,0.23705844725058636,0.875,0.00021733055978142755,0.0004345531862060403,0.0036240434737238683,0.0001,0.9997826694402185,0.5002655158496072,0.8815907297530109,0.9997826694402185,0.250420526428013,0.7526595744680851,0.02635909217920457,0.05093439721630621,-0.004062470561665884,0.0279,0.9736409078207954,0.5004618740103698,0.7592343840511224,0.9736409078207954
ToN-IoT,RANDOM_L2,1,10,2048,2,39.65768098831177,3.1047120094299316,-1.3409462436921067,0.23705844725058636,0.875,0.00021733055978142755,0.0004345531862060403,0.0036240434737238683,0.0001,0.9997826694402185,0.5002655158496072,0.8815907297530109,0.9997826694402185,0.25046790968750743,0.7549019607843137,0.026296997733552735,0.050823557649035435,-0.00317984844659259,0.0275,0.9737030022664472,0.5012878667453197,0.7600906682816191,0.9737030022664472
ToN-IoT,C&W,1,10,2048,2,39.65768098831177,1.9652643203735352,0.014214977848325816,0.23705844725058636,0.875,0.00021733055978142755,0.0004345531862060403,0.0036240434737238683,0.0001,0.9997826694402185,0.5002655158496072,0.8815907297530109,0.9997826694402185,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.49855620013039836,0.8758696923647511,1.0
ToN-IoT,FGSM,1,10,2048,3,40.20518612861633,17.3467116355896,0.5899215807055352,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5034000000000001,0.8821575188059134,0.9999068583315223,0.23108815655428938,0.0,0.0,0.0,-0.13741144598674504,0.0246,1.0,0.5071728616225278,0.8815119506631349,1.0
ToN-IoT,RANDOM_LINF,1,10,2048,3,40.20518612861633,3.10471248626709,0.007107488924162908,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5034000000000001,0.8821575188059134,0.9999068583315223,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.49437099413207486,0.8698190246019364,1.0
ToN-IoT,RANDOM_L2,1,10,2048,3,40.20518612861633,3.0279181003570557,0.007107488924162908,0.23698737236134473,1.0,9.314166847775466e-05,0.00018626598783062212,0.00469769600352079,0.0,0.9999068583315223,0.5034000000000001,0.8821575188059134,0.9999068583315223,0.2369162974721031,0.0,0.0,0.0,0.0,0.0,1.0,0.4943720093762613,0.869743792961193,1.0
