Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
UNSW-NB15,FGSM,1,5,1024,2,5.665411949157715,18.51984143257141,35.32405383083127,0.7814215614827771,0.9889811104751002,0.6098120532956852,0.7544348015937995,0.631835507264029,0.008324324324324324,0.39018794670431484,0.6040450376918876,0.8193616076186083,0.39018794670431484,0.4281810231744644,0.4212282442059699,0.1030397952880967,0.16557664699314084,-0.10260770179988032,0.17345945945945945,0.8969602047119033,0.5440045019209628,0.609525990983359,0.8969602047119033
UNSW-NB15,RANDOM_LINF,1,5,1024,2,5.665411949157715,11.406054019927979,11.77063596171598,0.7814215614827771,0.9889811104751002,0.6098120532956852,0.7544348015937995,0.631835507264029,0.008324324324324324,0.39018794670431484,0.6040450376918876,0.8193616076186083,0.39018794670431484,0.6637152018656173,0.7967042206154363,0.5225888996735198,0.6311694885901927,0.37199567659148136,0.16337837837837837,0.4774111003264802,0.5889102137741731,0.7030473805416902,0.4774111003264802
UNSW-NB15,RANDOM_L2,1,5,1024,2,5.665411949157715,11.11544919013977,12.164164601855909,0.7814215614827771,0.9889811104751002,0.6098120532956852,0.7544348015937995,0.631835507264029,0.008324324324324324,0.39018794670431484,0.6040450376918876,0.8193616076186083,0.39018794670431484,0.659779915464218,0.7929506477691709,0.5171181505338392,0.6259963949529341,0.36466522501877924,0.16543243243243244,0.48288184946616075,0.5863215367820833,0.6972079158442079,0.48288184946616075
UNSW-NB15,FGSM,1,5,1024,3,5.607486009597778,18.482474327087402,13.907107807413881,0.5669484526065199,0.9724663151728178,0.21971234448072002,0.3584409975888005,0.3196649909659192,0.007621621621621622,0.78028765551928,0.6040985393648304,0.8193904325619186,0.78028765551928,0.4278773745323811,0.42292971468336815,0.10725315450454426,0.17111283170268177,-0.10339548821521968,0.1792972972972973,0.8927468454954558,0.5309589881618141,0.595565141529945,0.8927468454954558
UNSW-NB15,RANDOM_LINF,1,5,1024,3,5.607486009597778,12.07262134552002,-5.674585823252198,0.5669484526065199,0.9724663151728178,0.21971234448072002,0.3584409975888005,0.3196649909659192,0.007621621621621622,0.78028765551928,0.6040985393648304,0.8193904325619186,0.78028765551928,0.6236943108390419,0.7929528009145843,0.4284170122650666,0.5562843721356554,0.31703803853759355,0.13705405405405405,0.5715829877349334,0.5951864749797887,0.6780103739329617,0.5715829877349334
UNSW-NB15,RANDOM_L2,1,5,1024,3,5.607486009597778,11.282333135604858,-5.454744206383911,0.5669484526065199,0.9724663151728178,0.21971234448072002,0.3584409975888005,0.3196649909659192,0.007621621621621622,0.78028765551928,0.6040985393648304,0.8193904325619186,0.78028765551928,0.621495894670359,0.7902650878846232,0.4254831024441895,0.5531481667359727,0.3127478262431245,0.13835135135135135,0.5745168975558105,0.5946302337588625,0.6753829803640693,0.5745168975558105
UNSW-NB15,FGSM,1,5,2048,2,5.763862371444702,19.528669357299805,15.056114269056991,0.5673978525968032,0.9759921607055365,0.21971234448072002,0.35867979905288366,0.32167136781405103,0.006621621621621622,0.78028765551928,0.6039669507370249,0.8193504459958172,0.78028765551928,0.4168367099062333,0.348308249405907,0.06789905585458396,0.11364433532094002,-0.14101557650655017,0.15564864864864864,0.932100944145416,0.5426763699528523,0.6342837733180716,0.932100944145416
UNSW-NB15,RANDOM_LINF,1,5,2048,2,5.763862371444702,13.52071762084961,-6.275810134577076,0.5673978525968032,0.9759921607055365,0.21971234448072002,0.35867979905288366,0.32167136781405103,0.006621621621621622,0.78028765551928,0.6039669507370249,0.8193504459958172,0.78028765551928,0.630155953942574,0.8036399249163471,0.43443924821318275,0.563990950485409,0.3311532604128854,0.13005405405405404,0.5655607517868173,0.5713348004869777,0.7625273705475856,0.5655607517868173
UNSW-NB15,RANDOM_L2,1,5,2048,2,5.763862371444702,13.79330325126648,-6.234513919253748,0.5673978525968032,0.9759921607055365,0.21971234448072002,0.35867979905288366,0.32167136781405103,0.006621621621621622,0.78028765551928,0.6039669507370249,0.8193504459958172,0.78028765551928,0.6297429917893407,0.8063970284770945,0.4310200300008824,0.5617722319657285,0.3320794552485551,0.12678378378378377,0.5689799699991176,0.5736334296994425,0.7571987738728596,0.5689799699991176
UNSW-NB15,FGSM,1,5,2048,3,5.867924928665161,18.9330632686615,13.536656464072294,0.5669484526065199,0.9724663151728178,0.21971234448072002,0.3584409975888005,0.3196649909659192,0.007621621621621622,0.78028765551928,0.6039669507370249,0.8193504459958172,0.78028765551928,0.431581887965797,0.43875761876930786,0.11592252713315097,0.18339178837529882,-0.09276803278468962,0.18167567567567566,0.884077472866849,0.5445945889306759,0.6121377100556945,0.884077472866849
