Dataset,Attack,Resolution,AddressSize,BloomSize,Hash,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Edge-IIoT,FGSM,1,5,1024,2,162.49825716018677,59.928053855895996,37.161731340727876,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6283826865927212,0.2708136847450952,0.21646563721916628,0.24060884258214818,-0.00137108722315027,0.2177365696053279,0.7835343627808338,0.4995284696404811,0.24789352332753278,0.7835343627808338
Edge-IIoT,RANDOM_LINF,1,5,1024,2,162.49825716018677,12.395969152450562,5.176853873346532,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9482314612665347,0.9654712577987331,0.839684538405461,0.8981953681262932,0.8674944831055045,0.011218429791197942,0.16031546159453908,0.9868403380206254,0.9715107697617079,0.16031546159453908
Edge-IIoT,RANDOM_L2,1,5,1024,2,162.49825716018677,11.414317607879639,5.2877043806227935,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9471229561937721,0.9567414727626277,0.8437272185035456,0.896687429841745,0.8644168384483385,0.014251274258887317,0.15627278149645438,0.9851038031880947,0.9680533058070908,0.15627278149645438
Edge-IIoT,C&W,1,5,1024,2,162.49825716018677,53.43934726715088,37.16263256436426,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6283736743563574,0.27078820542053167,0.21644078467757968,0.24058343347283803,-0.001401247356408894,0.21773966434458064,0.7835592153224203,0.49949012140330645,0.33452173549066944,0.7835592153224203
Edge-IIoT,FGSM,1,5,1024,3,150.88511180877686,57.12685823440552,42.97575032500377,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.5702424967499623,0.2731859931857341,0.34938531380475846,0.3066224635942623,0.0019936398755044478,0.3472514073326752,0.6506146861952415,0.5007762531657802,0.2818297500365493,0.6506146861952415
Edge-IIoT,RANDOM_LINF,1,5,1024,3,150.88511180877686,14.106913805007935,5.503772747447844,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.9449622725255216,0.9504388180916559,0.8415153423023395,0.8926666373742256,0.8587096792991157,0.016392833821786346,0.15848465769766054,0.9820594802763196,0.9638896229969638,0.15848465769766054
Edge-IIoT,RANDOM_L2,1,5,1024,3,150.88511180877686,11.337045431137085,5.784503910184058,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.9421549608981594,0.936338426504077,0.8447461727085956,0.8881872343390704,0.8513590066268045,0.021455827239275953,0.15525382729140433,0.9801677994111377,0.9594603224832607,0.15525382729140433
Edge-IIoT,C&W,1,5,1024,3,150.88511180877686,44.55488395690918,42.97597563091288,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.5702402436908712,0.2731812852617874,0.34937702962422956,0.30661630793949685,0.001985903234715781,0.3472514073326752,0.6506229703757704,0.5007507015185149,0.3836399207832883,0.6506229703757704
Edge-IIoT,FGSM,1,5,2048,2,149.7819812297821,52.59923458099365,49.04143600974222,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5095856399025778,0.2716257596457342,0.4776492809331301,0.3463130139166682,-0.0007434063204538511,0.47848382534529554,0.5223507190668699,0.4997116381355844,0.2875309654631074,0.5223507190668699
Edge-IIoT,RANDOM_LINF,1,5,2048,2,149.7819812297821,11.407611846923828,6.133277457467878,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9386672254253212,0.900364863475967,0.870857909735569,0.8853656071554904,0.8437334481270896,0.036001101727173974,0.12914209026443105,0.9805920889138642,0.9583881237519545,0.12914209026443105
Edge-IIoT,RANDOM_L2,1,5,2048,2,149.7819812297821,10.555883884429932,6.489035487933748,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9351096451206625,0.8858402250115445,0.8740473192391809,0.8799042603318363,0.8354869607266016,0.042079169619563705,0.12595268076081914,0.9781247734341526,0.9525693491620867,0.12595268076081914
Edge-IIoT,C&W,1,5,2048,2,149.7819812297821,38.80416512489319,49.04233723337862,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5095766276662138,0.2716163376831394,0.47763271257207235,0.3463010012553231,-0.0007636788446293689,0.47849001482380105,0.5223672874279276,0.4996757863766128,0.287494949992556,0.5223672874279276
Edge-IIoT,FGSM,1,5,2048,3,150.51202297210693,51.191062211990356,49.00110625201367,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5099889374798633,0.2720420229430193,0.4783700046391411,0.34684077278610836,0.00015223249096979924,0.4781991093340431,0.5216299953608589,0.5003867283587141,0.36764744292920926,0.5216299953608589
Edge-IIoT,RANDOM_LINF,1,5,2048,3,150.51202297210693,11.883836269378662,5.035136456523848,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.9496486354347615,0.9498408517177038,0.8602955795612698,0.9028533671819304,0.8709237149782642,0.016971550062049524,0.13970442043873021,0.9837530477851628,0.9671387457046828,0.13970442043873021
Edge-IIoT,RANDOM_L2,1,5,2048,3,150.51202297210693,10.404272556304932,5.238812998348507,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.9476118700165149,0.9405489458648248,0.8618530055006959,0.8994829762584081,0.8656569621598323,0.020351005326046254,0.13814699449930412,0.9821663001834835,0.9636421531657854,0.13814699449930412
Edge-IIoT,C&W,1,5,2048,3,150.51202297210693,34.173001527786255,49.002458087468256,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5099754191253174,0.2720364813235786,0.47837828881967,0.3468384461762542,0.0001403143444514024,0.4782207725088123,0.5216217111803301,0.5003595635819462,0.36763792292328434,0.5216217111803301
Edge-IIoT,FGSM,1,10,1024,2,112.48281121253967,28.533480167388916,54.86108764174558,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4513891235825442,0.27275688480900206,0.6104446948107893,0.3770441474446878,0.0022019569028714045,0.6080296104651702,0.38955530518921067,0.5015098888683607,0.28912189603097815,0.38955530518921067
Edge-IIoT,RANDOM_LINF,1,10,1024,2,112.48281121253967,8.763660192489624,6.773596851124619,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9322640314887538,0.8733566180104781,0.878305388031016,0.8758240124242074,0.8292613711327933,0.04757852127169025,0.12169461196898403,0.9730675431840176,0.9449677416641631,0.12169461196898403
