Dataset,Attack,Resolution,AddressSize,TrainTime_s,InferTime_Adv_s,Acc_Drop_pp,Clean_Acc,Clean_Precision,Clean_Recall,Clean_F1,Clean_MCC,Clean_FAR,Clean_ASR,Clean_AUC,Clean_PR_AUC,Clean_Miss_Attack,Adv_Acc,Adv_Precision,Adv_Recall,Adv_F1,Adv_MCC,Adv_FAR,Adv_ASR,Adv_AUC,Adv_PR_AUC,Adv_Miss_Attack
Bot-IoT,FGSM,1,5,0.2979929447174072,0.21921229362487793,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
Bot-IoT,RANDOM_LINF,1,5,0.2979929447174072,0.21450567245483398,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
Bot-IoT,RANDOM_L2,1,5,0.2979929447174072,0.25307393074035645,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
Bot-IoT,FGSM,1,10,0.30492711067199707,0.20325303077697754,0.008177655011998297,0.9999454822999201,0.999945477841286,1.0,0.9999727381774562,0.7745755526123786,0.4,0.0,0.8,0.999972738920643,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
Bot-IoT,RANDOM_LINF,1,10,0.30492711067199707,0.22123050689697266,0.009994911681332486,0.9999454822999201,0.999945477841286,1.0,0.9999727381774562,0.7745755526123786,0.4,0.0,0.8,0.999972738920643,0.0,0.9998455331831068,0.9998637032729387,0.9999818249561527,0.9999227606260933,-4.977146763539307e-05,1.0,1.817504384729328e-05,0.49999091247807637,0.9999318503978923,1.817504384729328e-05
Bot-IoT,RANDOM_L2,1,10,0.30492711067199707,0.23219084739685059,0.009994911681332486,0.9999454822999201,0.999945477841286,1.0,0.9999727381774562,0.7745755526123786,0.4,0.0,0.8,0.999972738920643,0.0,0.9998455331831068,0.9998637032729387,0.9999818249561527,0.9999227606260933,-4.977146763539307e-05,1.0,1.817504384729328e-05,0.49999091247807637,0.9999318503978923,1.817504384729328e-05
Bot-IoT,FGSM,1,15,0.28434300422668457,0.20024371147155762,0.00454314167332992,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.6666666666666667,0.9999545665191594,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
Bot-IoT,RANDOM_LINF,1,15,0.28434300422668457,0.2093217372894287,0.1608272152358814,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.6666666666666667,0.9999545665191594,0.0,0.9983008650141746,0.999863492410178,0.9984369462291328,0.9991497101284529,-0.00046191850257730954,1.0,0.0015630537708672223,0.4992184731145664,0.999931639687468,0.0015630537708672223
Bot-IoT,RANDOM_L2,1,15,0.28434300422668457,0.20123767852783203,0.1690048702478686,0.9999091371665334,0.9999091330383186,1.0,0.9999545644548643,0.5773240375613216,0.6666666666666666,0.0,0.6666666666666667,0.9999545665191594,0.0,0.9982190884640547,0.999863481228669,0.99835515853182,0.9991087506138707,-0.000473868901986945,1.0,0.001644841468180042,0.49917757926591,0.9999316285231171,0.001644841468180042
Bot-IoT,FGSM,1,20,0.27751803398132324,0.1957721710205078,0.010903540015994029,0.99997274114996,0.9999727381774562,1.0,0.9999863689029239,0.894414999059142,0.2,0.0,0.9,0.9999863690887281,0.0,0.9998637057498001,0.9998637057498001,1.0,0.9999318482305529,0.0,1.0,0.0,0.5,0.9999318528749,0.0
